Participant	Trial	Condition	Frame_ID	Word_pred	FFD_ms	GD_ms	TRT_ms
7	20	3	9	0	133.3	883	1266.1
7	26	4	10	0.7	366.4	366.4	1849.3
7	1	1	11	0.6	200.4	200.4	200.4
7	40	2	12	0.3	199.1	199.1	382
7	27	3	13	0.15	899.7	2633.4	2633.4
7	23	4	14	0.4	183.3	183.3	848.8
7	38	1	15	0	399.8	399.8	399.8
7	17	2	16	0	133.7	133.7	1882.8
7	5	3	17	0	749.7	749.7	1917.5
7	35	4	18	0.3	366.8	366.8	717.4
7	34	1	19	0.8	183.2	299.8	749.6
7	11	2	20	0.05	232.4	232.4	232.4
7	8	3	21	0	549.6	549.6	1183.4
7	22	4	22	0.45	100	100	2029.2
7	19	1	23	0.15	0	0	0
7	7	2	24	0	269.8	269.8	269.8
7	25	3	25	0	266	617.4	617.4
7	6	4	26	0.05	215.7	779.8	3529.2
7	24	1	27	0	183.6	183.6	183.6
7	13	2	28	0	83.5	83.5	300.1
7	29	3	29	0	549.6	549.6	549.6
7	2	4	30	0.5	349	349	1748.6
7	4	1	31	0	0	0	0
7	15	2	32	0.35	999.8	1466.9	1750.3
7	36	3	33	0	216.5	549.7	1314.4
7	30	4	34	0.2	200	200	448.9
7	31	1	35	0.1	150.1	150.1	150.1
7	12	2	36	0.05	0	0	0
7	16	3	37	0.05	182.6	182.6	397.7
7	33	4	38	0.1	333.8	333.8	3798.6
7	21	1	39	0.35	300.2	300.2	416.8
7	9	2	40	0.1	216.6	216.6	216.6
7	11	3	41	0.15	549.4	549.4	949.3
7	37	4	42	0	316.9	316.9	1299.9
7	14	1	43	0.25	516.5	516.5	833.2
7	34	2	44	0	184.3	184.3	184.3
7	35	3	45	0	735.2	735.2	735.2
7	15	4	46	0.3	166.5	1049.6	1049.6
7	16	1	47	0	166.7	166.7	583.2
7	36	2	48	0.1	516.6	516.6	516.6
7	38	3	49	0.1	199.9	199.9	1798
7	5	4	50	0.9	849.7	849.7	3048.7
7	2	1	51	0.9	0	0	0
7	22	2	52	0.65	152.3	152.3	469.2
7	1	3	53	0.1	516.5	516.5	1566.8
7	7	4	54	0.95	949.7	1349.7	2365.9
7	21	1	55	0	283.6	934.9	934.9
7	13	2	56	0.6	183.3	1049.5	1049.5
7	19	3	57	0.4	283.3	283.3	283.3
7	8	4	58	0.65	399.3	399.3	799.2
7	39	1	59	0.8	483.1	483.1	483.1
7	18	2	60	0.1	633	633	633
7	32	3	61	0.05	183.3	183.3	1182.5
7	25	4	62	0	382.4	981.1	1612.8
7	31	1	63	0.15	383.2	383.2	533.1
7	9	2	64	0	149.1	149.1	149.1
7	23	3	65	0	0	0	0
7	30	4	66	0.15	533	533	1166.1
7	17	1	67	0.05	366.3	583.1	1515.9
7	3	2	68	0.05	0	0	0
7	28	3	69	0	466.7	466.7	1116.6
7	4	4	70	0.3	233.2	233.2	3419.1
7	27	1	71	0.05	0	0	0
7	33	2	72	0.6	166.3	166.3	166.3
7	6	3	73	0	349.7	1049.2	1049.2
7	12	4	74	0	532.6	865.9	865.9
7	24	1	75	0.45	149.9	149.9	149.9
7	40	2	76	0	233.1	233.1	950.2
7	29	3	77	0	0	0	0
7	26	4	78	0.05	849.4	849.4	4032.7
7	20	1	79	0.1	250.5	250.5	250.5
7	10	2	80	0.6	316.5	316.5	766.2
8	32	2	1	0	684.1	684.1	1466.7
8	28	3	2	0.2	400.1	400.1	1284
8	22	4	3	0.2	283.3	283.3	483.3
8	30	1	4	0	334.8	334.8	1019.2
8	8	2	5	0.4	0	0	0
8	1	3	6	0.95	350.6	350.6	350.6
8	40	4	7	0	367.1	367.1	1100.2
8	5	2	8	0.5	201	201	201
8	9	2	9	0	0	0	0
8	10	3	10	0.7	199.8	199.8	199.8
8	16	4	11	0.6	150	150	150
8	27	1	12	0.3	217.1	217.1	749.3
8	4	2	13	0.15	216	216	616
8	24	3	14	0.4	216.6	216.6	216.6
8	23	4	15	0	166.5	166.5	483.6
8	18	1	16	0	201.1	201.1	402.5
8	36	2	17	0	549.7	549.7	2483
8	6	3	18	0.3	149.6	149.6	482.7
8	3	4	19	0.8	482.8	482.8	482.8
8	19	1	20	0.05	0	0	0
8	37	2	21	0	249.2	249.2	1364.7
8	26	3	22	0.45	333.2	333.2	999.6
8	39	4	23	0.15	134	134	866.5
8	13	1	24	0	0	0	0
8	25	2	25	0	184	184	184
8	33	3	26	0.05	266.6	266.6	517.9
8	29	4	27	0	250.2	250.2	1387.6
8	35	1	28	0	0	0	0
8	21	2	29	0	416.6	416.6	2029.3
8	17	3	30	0.5	183.6	183.6	531.9
8	15	4	31	0	333.6	415.4	764.1
8	31	1	32	0.35	233.6	233.6	233.6
8	20	2	33	0	182.8	182.8	1000.5
8	7	3	34	0.2	0	0	0
8	14	4	35	0.1	166.7	166.7	166.7
8	34	1	36	0.05	400.5	400.5	400.5
8	2	2	37	0.05	167.4	167.4	167.4
8	11	3	38	0.1	0	0	0
8	12	4	39	0.35	250.9	250.9	1751.7
8	38	1	40	0.1	800.2	800.2	2733.3
8	30	2	41	0.15	0	0	0
